metacritic_id;image_link
247;https://media.rawg.io/media/games/85c/85c8ae70e7cdf0105f06ef6bdce63b8b.jpg
248;https://media.rawg.io/media/screenshots/c9d/c9df41ca5b47f3c2013155da0d3ce4dc.jpg
249;https://media.rawg.io/media/screenshots/538/538e72598387bb52d17f7aba3c89d560.jpg
253;https://media.rawg.io/media/games/70a/70acf9af31bc26def813f20f44de1596.jpg
254;https://media.rawg.io/media/games/eb0/eb0978fb3cbc682ed9cdae2030ee17b8.jpg
255;
256;https://media.rawg.io/media/screenshots/65a/65ae6416488d0ca6dffe3ff4ff3e55eb.jpg
257;https://media.rawg.io/media/screenshots/429/4298bf275abdb9382748ae7c1ee8cd55.jpg
258;https://media.rawg.io/media/screenshots/a12/a12ae3bee186436155899424e6a6c356.jpg
259;https://media.rawg.io/media/screenshots/56f/56fee2a07b63e20e282cda541d01eeb4.jpg
260;https://media.rawg.io/media/screenshots/e5a/e5a26cf8f6597a3d22c1e14384e20988.jpg
262;https://media.rawg.io/media/screenshots/b86/b864ce981ace01517c6674723085a0bc.jpg
263;https://media.rawg.io/media/games/4ea/4ea507ceebeabb43edbc09468f5aaac6.jpg
264;https://media.rawg.io/media/screenshots/955/955ff19d2784d341536580079274ff66.jpg
266;https://media.rawg.io/media/screenshots/023/02382721dc35d53324549e4882f27ed9.jpg
267;https://media.rawg.io/media/games/c90/c90f6169765cf146f2e0aceb65324cbd.jpg
271;
272;https://media.rawg.io/media/screenshots/1e9/1e9383aa8693aed5c8d9477ec8f336ad.jpg
273;https://media.rawg.io/media/screenshots/8b0/8b0d7dc61e9516e5678d18f9095f5b4e.jpg
274;https://media.rawg.io/media/games/27c/27c5528a52c8b66b15915409a4048ca2.jpg
275;https://media.rawg.io/media/screenshots/74f/74f6ddaa71291e249b8d248f4fdaa5c8.jpg
277;https://media.rawg.io/media/games/d06/d06ba76b7383b5e6a9a3534d1dc7e754.jpg
278;https://media.rawg.io/media/screenshots/59f/59fb9bbd53886d2c0fb7511dc8f99ea1.jpg
279;https://media.rawg.io/media/screenshots/e03/e03942b08bbbb4ac15a9349c71f32109.jpg
280;https://media.rawg.io/media/games/1be/1bed7fae69d1004c09dfe1101d5a3a94.jpg
281;https://media.rawg.io/media/games/2c6/2c60e20bebae94ee080bdf0993253b4d.jpg
282;https://media.rawg.io/media/games/00a/00afce20b41eaadf2f06db5991f03e96.jpg
283;https://media.rawg.io/media/screenshots/4fd/4fd616934c12c9cf652ebf6df06f1d58.jpg
284;https://media.rawg.io/media/screenshots/dfc/dfc6b42f0833183b0491403ec93653a7.jpg
286;https://media.rawg.io/media/games/fee/fee0100afd87b52bfbd33e26689fa26c.jpg
287;https://media.rawg.io/media/games/6ac/6ac602e70c837ababdf025e997391d9c.jpg
288;https://media.rawg.io/media/games/30a/30afe3a3cb06849dc032ef3b9295f180.jpg
289;https://media.rawg.io/media/screenshots/ea8/ea82ea0e91daeafd6b98d22166c0913b.jpg
290;https://media.rawg.io/media/games/3a0/3a0c8e9ed3a711c542218831b893a0fa.jpg
291;https://media.rawg.io/media/games/588/588c6bdff3d4baf66ec36b1c05b793bf.jpg
293;https://media.rawg.io/media/games/d55/d55c482a16718c0445e40a9b6a2af1a1.jpg
294;https://media.rawg.io/media/screenshots/c1b/c1b13b247fa439ccabd65c29db90368c.jpg
295;https://media.rawg.io/media/screenshots/209/209b8d9bf627fde03a066236ba5eb629.jpg
296;https://media.rawg.io/media/screenshots/52e/52e51ffc00e60ead85a01da1cd20f319.jpg
297;https://media.rawg.io/media/games/43d/43d96923f98c75727bd55b676fb3b6d3.jpg
298;https://media.rawg.io/media/screenshots/f28/f28e74a1fe86d55b9c001757d17ae496.jpg
299;https://media.rawg.io/media/screenshots/1fe/1fe8bf354c9c565376d1aa60f1a32773.jpg
